Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam
gene-SAOUHSC_01481	NC_007795.1	1438012	1439310	-	1299	124	15	21	54	81	38	38	55	61	247	230	670
gene-SAOUHSC_01482	NC_007795.1	1439320	1440384	-	1065	122	9	5	77	39	17	5	37	22	45	30	547
gene-SAOUHSC_01483	NC_007795.1	1440410	1441576	-	1167	66	10	17	38	41	30	35	25	38	28	63	384
gene-SAOUHSC_01484	NC_007795.1	1441962	1442162	-	201	0	0	0	0	1	0	0	0	2	0	0	0
gene-SAOUHSC_01485	NC_007795.1	1442371	1442802	-	432	16	2	2	11	13	4	4	8	8	5	5	24
gene-SAOUHSC_01486	NC_007795.1	1442912	1443856	-	945	26	0	0	8	3	2	3	5	7	6	5	120
gene-SAOUHSC_01487	NC_007795.1	1443873	1444475	-	603	31	6	6	47	48	20	20	33	33	48	48	121
gene-SAOUHSC_01488	NC_007795.1	1444601	1445173	-	573	0	0	0	0	1	0	0	2	2	0	0	10
gene-SAOUHSC_01489	NC_007795.1	1445100	1445414	+	315	0	0	0	0	0	0	0	0	0	0	0	1
gene-SAOUHSC_01490	NC_007795.1	1445604	1445876	-	273	806	29	28	48	48	336	336	217	218	145	145	601
gene-SAOUHSC_01491	NC_007795.1	1446047	1447045	-	999	174	25	29	231	232	54	53	61	59	134	136	512
gene-SAOUHSC_01492	NC_007795.1	1447062	1448372	-	1311	73	8	9	40	42	17	17	38	39	35	37	140
gene-SAOUHSC_01493	NC_007795.1	1448594	1449769	-	1176	214	54	57	174	174	196	195	255	262	72	78	556
gene-SAOUHSC_A01436	NC_007795.1	1450026	1450217	-	192	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01494	NC_007795.1	1450171	1450308	+	138	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01495	NC_007795.1	1450334	1450450	-	117	0	0	0	0	0	0	0	2	0	0	0	0
gene-SAOUHSC_01496	NC_007795.1	1450481	1451140	-	660	18	0	0	0	2	8	6	4	4	8	7	9
gene-SAOUHSC_01497	NC_007795.1	1451217	1452185	+	969	197	4	5	3	4	34	33	23	24	7	7	32
gene-SAOUHSC_01499	NC_007795.1	1452300	1453286	-	987	31	31	32	18	17	37	39	47	48	21	20	29
gene-SAOUHSC_01500	NC_007795.1	1453447	1453563	-	117	0	3	0	7	0	1	0	0	0	0	0	0
gene-SAOUHSC_01501	NC_007795.1	1453688	1455148	-	1461	407	60	68	51	60	476	527	358	419	168	176	531
gene-SAOUHSC_01502	NC_007795.1	1455301	1456680	-	1380	44	0	1	8	11	26	28	28	27	33	30	87
gene-SAOUHSC_01503	NC_007795.1	1456670	1457623	-	954	10	4	7	26	26	1	1	5	4	16	17	7
gene-SAOUHSC_01504	NC_007795.1	1457755	1457979	+	225	14	2	0	0	0	0	0	3	4	1	1	8
gene-SAOUHSC_01505	NC_007795.1	1458085	1458630	-	546	334	50	30	54	49	191	128	205	139	162	95	479
gene-SAOUHSC_01507	NC_007795.1	1458909	1459028	-	120	5	0	0	0	0	0	0	1	0	0	2	1
gene-SAOUHSC_01508	NC_007795.1	1459227	1460141	-	915	9	0	0	0	0	0	0	0	0	0	2	11
gene-SAOUHSC_01510	NC_007795.1	1460156	1460362	-	207	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01511	NC_007795.1	1460355	1461245	-	891	4	0	2	0	3	0	0	2	2	0	2	0
gene-SAOUHSC_01512	NC_007795.1	1461363	1462280	-	918	2	1	0	3	3	0	0	0	0	0	0	11
gene-SAOUHSC_01513	NC_007795.1	1462371	1462718	-	348	14	0	0	17	20	0	5	0	3	0	2	3
gene-SAOUHSC_01514	NC_007795.1	1462963	1463799	-	837	0	0	2	0	1	1	0	0	2	0	0	1
gene-SAOUHSC_01515	NC_007795.1	1464415	1465869	-	1455	1	0	1	2	2	1	2	1	0	1	2	9
gene-SAOUHSC_01516	NC_007795.1	1465880	1466182	-	303	0	0	0	0	0	0	0	0	0	0	0	1
gene-SAOUHSC_01517	NC_007795.1	1466318	1466617	-	300	0	0	0	0	1	0	1	0	0	0	0	0
gene-SAOUHSC_01518	NC_007795.1	1466663	1466827	-	165	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01519	NC_007795.1	1466820	1467209	-	390	0	0	0	0	2	0	0	0	0	0	0	0
gene-SAOUHSC_01520	NC_007795.1	1467209	1468675	-	1467	4	0	0	0	1	0	1	1	1	0	3	1
gene-SAOUHSC_01521	NC_007795.1	1468675	1470585	-	1911	8	0	0	0	1	0	4	2	4	0	7	3
gene-SAOUHSC_01522	NC_007795.1	1470601	1470891	-	291	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01523	NC_007795.1	1470891	1472474	-	1584	4	0	1	0	4	1	2	0	2	2	1	2
gene-SAOUHSC_01524	NC_007795.1	1472483	1473307	-	825	3	0	1	0	2	1	0	0	1	0	2	6
gene-SAOUHSC_01525	NC_007795.1	1473307	1479507	-	6201	10	5	54	2	13	6	470	18	694	5	6	5
gene-SAOUHSC_01526	NC_007795.1	1479521	1479679	-	159	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01527	NC_007795.1	1479721	1480071	-	351	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01528	NC_007795.1	1480129	1480584	-	456	0	0	1	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01529	NC_007795.1	1480676	1481317	-	642	0	0	0	1	0	0	0	0	1	0	0	0
gene-SAOUHSC_01530	NC_007795.1	1481352	1481747	-	396	2	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01531	NC_007795.1	1481748	1482149	-	402	1	0	1	0	0	0	2	0	1	0	0	0
gene-SAOUHSC_01532	NC_007795.1	1482146	1482478	-	333	3	0	3	0	3	0	1	2	7	0	15	0
gene-SAOUHSC_01533	NC_007795.1	1482490	1482768	-	279	0	0	0	3	3	0	1	0	0	0	0	0
gene-SAOUHSC_01535	NC_007795.1	1482837	1484000	-	1164	0	2	4	1	0	0	0	0	1	0	0	2
gene-SAOUHSC_01536	NC_007795.1	1484012	1484785	-	774	1	0	1	2	2	0	0	0	0	0	0	0
gene-SAOUHSC_01537	NC_007795.1	1484769	1486007	-	1239	1	0	0	2	2	0	0	0	0	0	1	0
gene-SAOUHSC_01538	NC_007795.1	1486012	1487703	-	1692	1	1	2	3	290	0	3	0	2	1	4	0
gene-SAOUHSC_01539	NC_007795.1	1487693	1487998	-	306	0	0	0	0	5	0	0	0	0	0	0	0
gene-SAOUHSC_01540	NC_007795.1	1488120	1488434	-	315	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01541	NC_007795.1	1488591	1489028	-	438	0	0	0	0	3	0	0	0	0	0	0	0
gene-SAOUHSC_01542	NC_007795.1	1489041	1490408	-	1368	2	5	4	0	2	0	0	2	1	78	26	1
gene-SAOUHSC_01543	NC_007795.1	1490389	1490679	-	291	0	5	5	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01544	NC_007795.1	1490813	1490917	+	105	0	1	2	0	0	0	0	0	0	0	1	0
gene-SAOUHSC_01545	NC_007795.1	1491020	1491310	-	291	0	0	1	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01546	NC_007795.1	1491243	1491503	-	261	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01547	NC_007795.1	1491472	1493469	-	1998	5	9	9	1	3	10	2	1	1	4	0	0
gene-SAOUHSC_01548	NC_007795.1	1493521	1493721	-	201	0	1	1	0	1	0	0	0	0	0	0	0
gene-SAOUHSC_01549	NC_007795.1	1493789	1493956	-	168	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01550	NC_007795.1	1493944	1494144	-	201	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01551	NC_007795.1	1494119	1494307	-	189	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01552	NC_007795.1	1494344	1494886	-	543	0	0	4	0	0	0	0	0	2	0	0	0
gene-SAOUHSC_01553	NC_007795.1	1494891	1495127	-	237	0	0	1	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01555	NC_007795.1	1495425	1495772	-	348	1	3	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01556	NC_007795.1	1495769	1496170	-	402	1	3	1	0	2	0	1	0	0	0	2	0
gene-SAOUHSC_01557	NC_007795.1	1496173	1496379	-	207	1	0	0	0	1	0	0	0	0	0	0	1
gene-SAOUHSC_01558	NC_007795.1	1496393	1496635	-	243	13	0	7	0	3	0	5	0	1	2	6	0
gene-SAOUHSC_01559	NC_007795.1	1496650	1496850	-	201	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01560	NC_007795.1	1496853	1497110	-	258	34	0	0	7	11	0	0	0	0	0	0	9
gene-SAOUHSC_01561	NC_007795.1	1497110	1497511	-	402	32	0	0	1	1	0	1	0	0	0	1	4
gene-SAOUHSC_01562	NC_007795.1	1497511	1497696	-	186	0	7	7	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01563	NC_007795.1	1497709	1499661	-	1953	1	5	6	32	1	0	1	0	0	0	1	6
gene-SAOUHSC_01565	NC_007795.1	1499730	1500287	-	558	1	0	0	0	0	0	1	0	0	0	0	1
gene-SAOUHSC_01566	NC_007795.1	1500313	1501479	-	1167	0	0	2	0	2	0	1	0	1	0	0	0
gene-SAOUHSC_01567	NC_007795.1	1501476	1501838	-	363	0	0	0	0	2	0	0	0	0	0	1	0
gene-SAOUHSC_01568	NC_007795.1	1501853	1502176	-	324	0	0	0	0	0	0	0	0	0	0	1	0
gene-SAOUHSC_01569	NC_007795.1	1502255	1502416	-	162	0	0	1	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01570	NC_007795.1	1502429	1502692	-	264	0	2	0	0	0	0	0	0	0	0	0	1
gene-SAOUHSC_01571	NC_007795.1	1502717	1502932	-	216	0	0	0	0	0	0	0	0	0	0	1	0
gene-SAOUHSC_01572	NC_007795.1	1502987	1503352	+	366	1	0	0	0	0	0	0	0	2	0	1	7
gene-SAOUHSC_01573	NC_007795.1	1503321	1503566	-	246	2	0	0	17	0	0	0	0	0	0	0	0
gene-SAOUHSC_01574	NC_007795.1	1503582	1503845	-	264	12	3	0	19	19	0	2	3	0	0	1	0
gene-SAOUHSC_A01514	NC_007795.1	1503842	1504015	-	174	0	0	0	0	1	0	0	0	0	0	0	0
gene-SAOUHSC_01575	NC_007795.1	1503978	1504691	+	714	108	0	0	30	31	101	103	67	65	1	0	24
gene-SAOUHSC_01576	NC_007795.1	1504707	1505639	+	933	4	0	2	64	130	0	0	0	0	0	0	6
gene-SAOUHSC_01577	NC_007795.1	1505645	1505986	+	342	2	0	1	0	1	0	0	0	0	0	0	0
gene-SAOUHSC_01578	NC_007795.1	1506145	1506372	+	228	0	0	0	0	2	0	0	0	0	4	0	1
gene-SAOUHSC_01579	NC_007795.1	1506409	1506555	+	147	0	0	0	0	2	0	0	0	0	0	0	0
gene-SAOUHSC_01580	NC_007795.1	1506552	1507166	-	615	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01582	NC_007795.1	1507292	1508497	+	1206	2	2	2	0	2	0	1	0	1	0	1	1
gene-SAOUHSC_01583	NC_007795.1	1508540	1510567	-	2028	7	0	1	29	36	1	2	1	2	2	3	0
gene-SAOUHSC_01584	NC_007795.1	1510560	1511429	-	870	3	6	6	10	9	0	0	0	0	0	0	0
gene-SAOUHSC_01585	NC_007795.1	1511734	1513485	-	1752	90	18	9	53	25	61	24	85	33	87	39	237
gene-SAOUHSC_01586	NC_007795.1	1513466	1514191	-	726	211	39	40	102	102	76	78	130	125	94	92	311
gene-SAOUHSC_01587	NC_007795.1	1514324	1515061	-	738	2	2	2	2	7	0	0	3	3	1	2	2
gene-SAOUHSC_01588	NC_007795.1	1515054	1515596	-	543	7	5	5	2	4	0	0	2	3	12	12	7
gene-SAOUHSC_01589	NC_007795.1	1515589	1516320	-	732	22	11	11	21	16	5	5	5	5	5	6	11
gene-SAOUHSC_01590	NC_007795.1	1516412	1516918	+	507	7	2	3	11	11	1	3	2	3	3	3	18
gene-SAOUHSC_01591	NC_007795.1	1516996	1517883	-	888	605	95	95	107	101	67	66	118	115	166	159	322
gene-SAOUHSC_01592	NC_007795.1	1517932	1518381	-	450	211	26	32	30	59	30	32	35	44	80	97	137
gene-SAOUHSC_01593	NC_007795.1	1518486	1519028	-	543	5	0	0	2	6	0	1	1	3	8	13	3
gene-SAOUHSC_01594	NC_007795.1	1519110	1520018	+	909	111	19	36	53	59	42	89	49	112	33	47	25
gene-SAOUHSC_01595	NC_007795.1	1520234	1520482	-	249	23	19	7	5	5	36	11	69	23	22	9	57
gene-SAOUHSC_01596	NC_007795.1	1520498	1521253	-	756	64	28	36	0	0	34	38	54	53	24	24	63
gene-SAOUHSC_01597	NC_007795.1	1521425	1522210	+	786	127	63	52	15	15	82	79	193	191	70	70	96
gene-SAOUHSC_01598	NC_007795.1	1522315	1523235	-	921	11	5	11	12	12	3	3	6	6	11	7	30
gene-SAOUHSC_01599	NC_007795.1	1523548	1525032	+	1485	484	147	149	459	480	185	186	462	465	404	404	1219
gene-SAOUHSC_01600	NC_007795.1	1525235	1526128	+	894	409	107	102	187	181	158	156	190	186	151	144	614
gene-SAOUHSC_01601	NC_007795.1	1526211	1527860	-	1650	44	4	5	45	47	7	8	2	2	9	9	63
gene-SAOUHSC_01602	NC_007795.1	1527876	1528895	-	1020	3	0	0	34	7	1	1	1	3	0	3	4
gene-SAOUHSC_01603	NC_007795.1	1528896	1529150	-	255	1	1	0	13	8	0	0	5	2	3	2	19
gene-SAOUHSC_01604	NC_007795.1	1529089	1529460	-	372	27	12	12	115	116	49	44	195	195	3	1	178
gene-SAOUHSC_01605	NC_007795.1	1529679	1531085	-	1407	155	91	91	716	692	49	42	90	89	184	185	1068
gene-SAOUHSC_01606	NC_007795.1	1531153	1532286	-	1134	97	17	19	111	111	122	123	130	133	42	42	300
gene-SAOUHSC_01607	NC_007795.1	1532549	1532728	+	180	0	0	0	0	0	1	0	0	0	0	0	1
gene-SAOUHSC_01608	NC_007795.1	1532809	1532901	+	93	1	1	0	0	0	2	0	0	0	1	0	26
gene-SAOUHSC_01609	NC_007795.1	1532855	1533835	-	981	39	37	34	41	43	15	16	41	35	49	49	126
gene-SAOUHSC_01610	NC_007795.1	1533849	1534286	-	438	49	2	6	7	7	13	7	13	18	13	15	31
gene-SAOUHSC_01611	NC_007795.1	1534637	1535911	-	1275	675	351	302	98	102	312	240	464	354	734	562	280
gene-SAOUHSC_01612	NC_007795.1	1535924	1536907	-	984	1051	204	377	141	155	349	551	476	741	352	725	486
gene-SAOUHSC_01613	NC_007795.1	1536907	1537899	-	993	357	60	64	68	67	94	114	130	140	113	127	1135
gene-SAOUHSC_01614	NC_007795.1	1537915	1539336	-	1422	4358	1048	1051	1003	980	2003	2003	2611	2609	1915	1910	1325
gene-SAOUHSC_01615	NC_007795.1	1539487	1541166	-	1680	148	30	31	54	57	49	52	118	118	62	69	200
gene-SAOUHSC_01617	NC_007795.1	1541182	1541634	-	453	5	0	0	0	0	8	9	22	24	4	4	4
gene-SAOUHSC_01618	NC_007795.1	1542066	1542947	-	882	14	10	11	64	64	10	10	21	21	12	13	122
gene-SAOUHSC_01619	NC_007795.1	1542925	1543155	-	231	0	0	5	7	8	0	2	3	7	1	1	5
gene-SAOUHSC_01620	NC_007795.1	1543148	1544485	-	1338	93	64	66	30	43	47	47	80	87	55	58	235
gene-SAOUHSC_01621	NC_007795.1	1544502	1544891	-	390	24	7	16	0	10	0	11	3	15	4	24	16
gene-SAOUHSC_01622	NC_007795.1	1544951	1545313	-	363	23	13	13	5	5	26	25	23	23	19	21	45
gene-SAOUHSC_01623	NC_007795.1	1545328	1546683	-	1356	141	24	33	55	58	131	125	144	141	56	56	297
gene-SAOUHSC_01624	NC_007795.1	1546683	1547147	-	465	16	3	3	10	11	20	21	20	18	15	15	37
gene-SAOUHSC_01625	NC_007795.1	1547621	1548178	-	558	2	4	4	3	4	3	6	8	5	1	1	8
gene-SAOUHSC_01626	NC_007795.1	1548204	1549265	-	1062	9	8	8	7	7	4	4	22	22	9	9	3
gene-SAOUHSC_01627	NC_007795.1	1549370	1549951	+	582	2	1	1	7	7	0	0	0	2	2	2	0
gene-SAOUHSC_01628	NC_007795.1	1549965	1550183	+	219	1	0	0	0	0	0	0	1	0	3	3	0
gene-SAOUHSC_01629	NC_007795.1	1550247	1551077	-	831	70	17	18	18	25	19	25	51	52	26	29	58
gene-SAOUHSC_01630	NC_007795.1	1551235	1551621	+	387	24	0	0	0	1	5	3	14	5	1	1	7
gene-SAOUHSC_01632	NC_007795.1	1551986	1553458	-	1473	286	27	24	242	239	187	168	176	155	120	117	562
gene-SAOUHSC_01633	NC_007795.1	1553451	1554797	-	1347	279	8	11	154	174	212	219	217	227	72	74	619
gene-SAOUHSC_01634	NC_007795.1	1554817	1555908	-	1092	40	2	2	22	27	10	10	31	30	7	8	36
gene-SAOUHSC_01635	NC_007795.1	1556067	1556591	-	525	3	0	1	8	9	19	19	2	3	1	1	24
gene-SAOUHSC_01636	NC_007795.1	1556581	1556727	-	147	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_01637	NC_007795.1	1556824	1557321	-	498	0	0	0	0	0	0	0	0	0	0	2	0
gene-SAOUHSC_01638	NC_007795.1	1557239	1557559	-	321	0	0	1	0	0	0	0	0	0	0	2	0
gene-SAOUHSC_01639	NC_007795.1	1557525	1557971	-	447	0	0	1	5	5	2	1	0	0	0	0	0
gene-SAOUHSC_01640	NC_007795.1	1557949	1558260	-	312	0	0	1	0	1	0	0	0	1	0	0	0
gene-SAOUHSC_01641	NC_007795.1	1558274	1559194	-	921	0	0	1	5	8	0	1	0	0	0	2	0
gene-SAOUHSC_01643	NC_007795.1	1559316	1560290	-	975	1	0	0	9	9	0	0	0	1	2	4	0
gene-SAOUHSC_01644	NC_007795.1	1560342	1560965	-	624	23	10	10	12	9	4	2	12	13	10	12	58
gene-SAOUHSC_01645	NC_007795.1	1560962	1561291	-	330	179	34	40	92	92	23	23	69	68	76	75	68
gene-SAOUHSC_01646	NC_007795.1	1561291	1562277	-	987	63	10	7	15	34	14	15	39	42	13	20	51
gene-SAOUHSC_01647	NC_007795.1	1562274	1562477	-	204	2	0	0	0	1	0	0	1	1	0	0	0
gene-SAOUHSC_01650	NC_007795.1	1563933	1564472	-	540	0	0	0	0	0	1	0	0	0	0	0	4
gene-SAOUHSC_01651	NC_007795.1	1564681	1564830	-	150	1	0	2	0	0	0	1	2	0	0	1	1
gene-SAOUHSC_01652	NC_007795.1	1564943	1567018	-	2076	429	64	65	119	119	164	164	142	142	85	86	692
gene-SAOUHSC_01653	NC_007795.1	1567139	1567738	-	600	153	32	42	83	53	116	164	112	142	91	91	289
gene-SAOUHSC_01655	NC_007795.1	1568014	1568424	-	411	0	0	0	0	1	0	0	1	1	0	0	0
gene-SAOUHSC_01656	NC_007795.1	1568411	1569274	-	864	15	25	20	53	39	16	15	15	16	9	8	11
gene-SAOUHSC_01657	NC_007795.1	1569316	1570101	-	786	12	10	12	19	22	1	3	2	2	4	5	8
gene-SAOUHSC_01658	NC_007795.1	1570227	1571117	-	891	105	22	25	101	104	10	13	24	26	44	44	114
gene-SAOUHSC_01659	NC_007795.1	1571127	1572473	-	1347	13	12	8	31	32	5	6	9	9	14	15	128
gene-SAOUHSC_01660	NC_007795.1	1572587	1573687	-	1101	68	25	25	45	39	8	3	35	19	8	9	81
gene-SAOUHSC_01661	NC_007795.1	1573690	1574367	-	678	71	6	9	23	24	5	0	21	19	12	12	115
gene-SAOUHSC_01662	NC_007795.1	1574498	1575604	-	1107	4355	1174	1155	1005	1000	685	687	1920	1918	1217	1213	4762
gene-SAOUHSC_01663	NC_007795.1	1575828	1577627	-	1800	1238	346	397	572	547	243	276	695	812	433	539	1803
gene-SAOUHSC_01664	NC_007795.1	1577688	1578506	-	819	71	23	27	86	85	37	41	34	36	69	69	342
gene-SAOUHSC_01665	NC_007795.1	1578517	1579056	-	540	1	0	0	0	0	1	2	1	2	0	0	8
gene-SAOUHSC_01666	NC_007795.1	1579475	1580866	+	1392	1184	207	206	937	933	138	136	458	448	322	324	1180
gene-SAOUHSC_01667	NC_007795.1	1581016	1581762	-	747	165	33	29	47	54	46	49	136	135	88	82	431
gene-SAOUHSC_01668	NC_007795.1	1581790	1582689	-	900	408	129	120	268	268	80	66	208	181	388	361	924
gene-SAOUHSC_01670	NC_007795.1	1582690	1583094	-	405	229	24	66	7	44	14	41	60	131	62	229	209
gene-SAOUHSC_01671	NC_007795.1	1583105	1583449	-	345	99	61	55	45	39	31	20	87	74	57	49	278
gene-SAOUHSC_01672	NC_007795.1	1583452	1583919	-	468	99	18	35	19	30	7	32	9	61	31	49	165
gene-SAOUHSC_01673	NC_007795.1	1583920	1584867	-	948	257	55	52	50	50	47	47	173	173	134	134	557
gene-SAOUHSC_01675	NC_007795.1	1585171	1585869	-	699	7	257	200	631	557	336	271	325	215	619	494	1994
gene-SAOUHSC_01676	NC_007795.1	1585886	1586875	-	990	2701	4123	4158	4769	4815	13697	13677	5136	5179	7592	7659	21560
gene-SAOUHSC_01677	NC_007795.1	1586893	1587576	-	684	392	1319	1370	2728	2827	964	1103	561	629	1109	1257	3196
gene-SAOUHSC_01678	NC_007795.1	1587820	1587996	-	177	35	34	34	56	59	36	36	29	29	22	21	88
gene-SAOUHSC_01679	NC_007795.1	1588289	1589635	-	1347	184	26	26	86	87	53	51	64	66	21	27	374
gene-SAOUHSC_01680	NC_007795.1	1589642	1590394	-	753	55	33	33	38	44	25	26	23	22	19	18	278
gene-SAOUHSC_01681	NC_007795.1	1590396	1591334	-	939	686	49	47	25	25	109	114	128	131	32	32	331
gene-SAOUHSC_01682	NC_007795.1	1591338	1592477	-	1140	2044	260	259	82	83	389	385	375	370	76	76	645
gene-SAOUHSC_01683	NC_007795.1	1592613	1594445	-	1833	54779	2379	2397	2263	2303	10458	10523	9047	9125	2733	2758	30096
gene-SAOUHSC_01684	NC_007795.1	1594514	1595140	-	627	248	18	18	23	14	29	29	31	28	17	14	162
gene-SAOUHSC_01685	NC_007795.1	1595172	1596149	-	978	1424	400	393	441	439	324	321	365	364	139	140	1646
gene-SAOUHSC_01686	NC_007795.1	1596250	1597374	-	1125	12	0	6	8	16	6	6	1	5	10	18	10
gene-SAOUHSC_01687	NC_007795.1	1597626	1597754	-	129	8	0	2	0	1	2	3	3	4	4	10	65
gene-SAOUHSC_01688	NC_007795.1	1597937	1599760	-	1824	45	7	10	32	34	17	17	14	15	5	6	125
gene-SAOUHSC_01689	NC_007795.1	1600106	1600357	+	252	0	0	0	0	0	0	0	3	3	0	0	11
gene-SAOUHSC_01690	NC_007795.1	1600402	1601376	-	975	2	0	1	0	3	0	3	1	1	1	4	4
gene-SAOUHSC_01691	NC_007795.1	1601433	1603580	-	2148	16	5	5	26	14	4	6	9	13	8	5	23
gene-SAOUHSC_01692	NC_007795.1	1603639	1604070	-	432	12	5	6	21	21	0	0	18	26	2	4	28
gene-SAOUHSC_01693	NC_007795.1	1604192	1604878	-	687	21	3	4	118	121	2	4	15	11	3	3	31
gene-SAOUHSC_01694	NC_007795.1	1604918	1605634	-	717	352	96	94	93	95	92	90	209	213	78	78	252
gene-SAOUHSC_01695	NC_007795.1	1605637	1605990	-	354	93	0	28	4	6	6	15	8	50	2	9	8
gene-SAOUHSC_01696	NC_007795.1	1605991	1606575	-	585	38	0	0	5	6	3	3	11	11	6	6	24
gene-SAOUHSC_01697	NC_007795.1	1606565	1607134	-	570	17	2	2	15	17	4	3	5	5	7	7	29
gene-SAOUHSC_01698	NC_007795.1	1607137	1607427	-	291	10	2	2	13	15	3	6	3	5	3	5	27
gene-SAOUHSC_01699	NC_007795.1	1607431	1608237	-	807	12	3	3	11	7	10	10	22	20	17	16	32
gene-SAOUHSC_01700	NC_007795.1	1608251	1609351	-	1101	18	1	1	13	15	10	12	6	7	4	11	38
gene-SAOUHSC_01701	NC_007795.1	1609352	1609879	-	528	2	1	1	0	0	0	0	5	6	0	0	15
gene-SAOUHSC_01702	NC_007795.1	1609899	1610585	-	687	2	7	7	10	3	2	1	2	1	5	5	11
gene-SAOUHSC_01704	NC_007795.1	1610899	1611168	+	270	0	0	0	0	0	0	0	0	0	0	0	3
gene-SAOUHSC_01705	NC_007795.1	1611370	1612074	-	705	0	5	5	10	10	3	0	0	0	0	0	0
gene-SAOUHSC_01706	NC_007795.1	1612536	1613756	-	1221	4	0	0	6	5	1	1	5	3	1	0	8
gene-SAOUHSC_01707	NC_007795.1	1614045	1615274	-	1230	360	19	23	118	118	89	92	136	140	107	111	154
gene-SAOUHSC_01708	NC_007795.1	1615287	1616039	-	753	18	2	2	15	16	5	6	13	11	2	2	12
gene-SAOUHSC_01709	NC_007795.1	1616039	1617400	-	1362	79	2	2	16	17	33	37	28	29	11	14	34
gene-SAOUHSC_01710	NC_007795.1	1617414	1617863	-	450	3	0	0	0	0	1	1	1	1	2	2	6
gene-SAOUHSC_01711	NC_007795.1	1617865	1618779	-	915	42	1	0	10	9	4	3	18	18	13	13	34
gene-SAOUHSC_01712	NC_007795.1	1618865	1619566	-	702	18	4	5	11	12	2	3	1	2	6	9	20
gene-SAOUHSC_01714	NC_007795.1	1619925	1620401	-	477	11	18	11	50	40	2	2	20	14	14	11	97
gene-SAOUHSC_01715	NC_007795.1	1620429	1621052	-	624	362	75	75	144	158	119	120	153	157	202	207	801
gene-SAOUHSC_01716	NC_007795.1	1621052	1622320	-	1269	377	47	51	106	109	59	69	88	103	146	146	262
gene-SAOUHSC_01717	NC_007795.1	1622332	1623255	-	924	199	47	47	63	66	14	18	92	92	142	147	472
gene-SAOUHSC_01718	NC_007795.1	1623258	1623896	-	639	5	1	1	5	7	1	1	1	1	1	1	3
gene-SAOUHSC_01719	NC_007795.1	1624181	1624489	-	309	23	16	5	4	8	15	4	50	7	28	10	31
